TransactionID,SaleDate,SalesYear,SalesQuarter,YearMonth,CustomerID,CustomerName,Region,ProductID,ProductName,Category,StoreID,CampaignID,SaleAmount
24,2024-06-01,2024,2,2024-06,1116,Melissa Rivera,Central,2097,Office-Recent,Office,404,2,763.17
382,2024-06-01,2024,2,2024-06,1162,Deborah Rice,East,2037,Clothing-Meeting,Clothing,403,0,1010.22
618,2024-06-01,2024,2,2024-06,1098,Jeffrey Maxwell,West,2042,Clothing-Lawyer,Clothing,401,2,1244.38
855,2024-06-01,2024,2,2024-06,1005,Jessica Mora,South,2083,Clothing-Cut,Clothing,403,1,413.48
863,2024-06-01,2024,2,2024-06,1082,Connor Martin,Central,2054,Electronics-Above,Electronics,401,2,1551.01
1147,2024-06-01,2024,2,2024-06,1034,Heather Smith,Central,2091,Office-Mrs,Office,404,2,3920.03
1569,2024-06-01,2024,2,2024-06,1062,Ashley Harmon,South,2081,Office-Light,Office,403,2,840.11
443,2024-06-02,2024,2,2024-06,1066,Derrick Myers,North,2064,Electronics-Stop,Electronics,403,0,1915.58
1182,2024-06-03,2024,2,2024-06,1181,Tiffany Smith,East,2025,Electronics-Assume,Electronics,404,3,287.03
1231,2024-06-03,2024,2,2024-06,1014,Cindy Woods,East,2045,Office-Next,Office,402,2,1423.46
1905,2024-06-03,2024,2,2024-06,1116,Melissa Rivera,Central,2071,Clothing-Success,Clothing,404,2,1536.9
602,2024-06-04,2024,2,2024-06,1180,Jennifer Smith,South-West,2036,Electronics-Candidate,Electronics,404,3,452.01
928,2024-06-04,2024,2,2024-06,1131,Mark Gomez,West,2090,Office-Staff,Office,403,1,573.6
1394,2024-06-04,2024,2,2024-06,1159,Kelli Smith,North,2097,Office-Recent,Office,403,1,3893.77
898,2024-06-05,2024,2,2024-06,1039,Brandy Good,West,2018,Electronics-Nature,Electronics,404,2,1464.57
1277,2024-06-05,2024,2,2024-06,1020,Michelle Brewer,East,2098,Clothing-Trouble,Clothing,404,3,293.49
1947,2024-06-05,2024,2,2024-06,1174,Deborah Saunders,West,2064,Electronics-Stop,Electronics,403,,660.78
1979,2024-06-05,2024,2,2024-06,1076,Glenn Shelton,East,2074,Clothing-Strong,Clothing,401,3,1253.82
2121,2024-06-05,2024,2,2024-06,1034,Heather Smith,Central,2083,Clothing-Cut,Clothing,403,1,463.17
308,2024-06-06,2024,2,2024-06,1056,Kristina Wilson,East,2079,Office-Who,Office,403,0,1664.69
337,2024-06-06,2024,2,2024-06,1150,Bobby Hunter,North,2053,Home-Ground,Home,401,1,1186.22
489,2024-06-06,2024,2,2024-06,1167,Terry Frederick,North,2010,Electronics-Themselves,Electronics,404,0,1499.78
583,2024-06-06,2024,2,2024-06,1066,Derrick Myers,North,2044,Office-Society,Office,402,2,96.22
1374,2024-06-06,2024,2,2024-06,1040,Angel Lee,Central,2040,Clothing-Determine,Clothing,404,1,57.75
1383,2024-06-06,2024,2,2024-06,1036,Robert Bishop,South-West,2013,Office-Cultural,Office,404,,4594.13
2091,2024-06-06,2024,2,2024-06,1111,Ronald Chavez,South-West,2028,Electronics-Take,Electronics,403,0,645.65
2229,2024-06-06,2024,2,2024-06,1169,Michael Edwards,South-West,2018,Electronics-Nature,Electronics,403,2,1213.51
954,2024-06-07,2024,2,2024-06,1034,Heather Smith,Central,2004,Office-Where,Office,402,0,876.06
1101,2024-06-07,2024,2,2024-06,1020,Michelle Brewer,East,2091,Office-Mrs,Office,404,1,4252.36
1216,2024-06-07,2024,2,2024-06,1087,Carla Tran,East,2035,Home-According,Home,402,0,2104.26
1648,2024-06-07,2024,2,2024-06,1124,Megan Novak,East,2036,Electronics-Candidate,Electronics,403,1,1265.2
1717,2024-06-07,2024,2,2024-06,1067,Lawrence Pearson,East,2079,Office-Who,Office,402,,2820.07
1756,2024-06-07,2024,2,2024-06,1132,Scott Winters,West,2061,Home-Quite,Home,404,1,204.31
1802,2024-06-07,2024,2,2024-06,1065,Daniel Adams,Central,2083,Clothing-Cut,Clothing,401,2,688.1
2370,2024-06-07,2024,2,2024-06,1116,Melissa Rivera,Central,2019,Home-History,Home,404,0,4742.56
2387,2024-06-07,2024,2,2024-06,1062,Ashley Harmon,South,2083,Clothing-Cut,Clothing,404,1,1080.26
326,2024-06-08,2024,2,2024-06,1026,Gary Walls,North,2023,Home-Yeah,Home,404,0,4541.56
728,2024-06-08,2024,2,2024-06,1141,David Palmer,North,2079,Office-Who,Office,404,2,2463.04
775,2024-06-08,2024,2,2024-06,1181,Tiffany Smith,East,2011,Electronics-Religious,Electronics,403,1,1012.93
1191,2024-06-08,2024,2,2024-06,1033,Paul Perkins,East,2091,Office-Mrs,Office,403,1,1960.74
1378,2024-06-08,2024,2,2024-06,1024,Andres Avila,Central,2018,Electronics-Nature,Electronics,403,3,1805.84
1711,2024-06-08,2024,2,2024-06,1149,Jordan Elliott,North,2097,Office-Recent,Office,401,2,1917.71
1898,2024-06-08,2024,2,2024-06,1116,Melissa Rivera,Central,2009,Office-Raise,Office,404,0,20.26
2048,2024-06-08,2024,2,2024-06,1126,Lee Luna,East,2090,Office-Staff,Office,403,1,773.9
2193,2024-06-08,2024,2,2024-06,1032,Terri Long,East,2072,Electronics-Become,Electronics,402,1,378.97
937,2024-06-09,2024,2,2024-06,1195,Michael Lee,South-West,2005,Office-Huge,Office,402,0,1880.27
1010,2024-06-09,2024,2,2024-06,1034,Heather Smith,Central,2036,Electronics-Candidate,Electronics,402,3,1090.26
1029,2024-06-09,2024,2,2024-06,1019,Michelle Torres,Central,2013,Office-Cultural,Office,403,0,1613.8
2024,2024-06-09,2024,2,2024-06,1191,Kyle Smith Jr.,South,2054,Electronics-Above,Electronics,402,3,3849.86
2264,2024-06-09,2024,2,2024-06,1138,Bonnie Stewart,South,2079,Office-Who,Office,403,2,4555.83
995,2024-06-10,2024,2,2024-06,1026,Gary Walls,North,2039,Clothing-Need,Clothing,401,2,1312.82
1203,2024-06-10,2024,2,2024-06,1167,Terry Frederick,North,2065,Office-Animal,Office,402,1,1459.97
1358,2024-06-10,2024,2,2024-06,1066,Derrick Myers,North,2023,Home-Yeah,Home,403,,1566.25
1455,2024-06-10,2024,2,2024-06,1052,Brandon Hinton,South-West,2062,Office-Receive,Office,404,2,1023.11
1524,2024-06-10,2024,2,2024-06,1083,Jacqueline Bishop,South,2019,Home-History,Home,402,0,928.21
1697,2024-06-10,2024,2,2024-06,1116,Melissa Rivera,Central,2067,Clothing-Remain,Clothing,401,2,359.27
2078,2024-06-10,2024,2,2024-06,1150,Bobby Hunter,North,2087,Electronics-Rather,Electronics,402,0,1459.87
104,2024-06-11,2024,2,2024-06,1143,Miss Chelsea Castro DDS,Central,2070,Clothing-About,Clothing,402,3,52.31
391,2024-06-11,2024,2,2024-06,1034,Heather Smith,Central,2023,Home-Yeah,Home,403,1,3607.68
506,2024-06-11,2024,2,2024-06,1089,Matthew Hernandez,North,2056,Office-About,Office,402,1,778.95
527,2024-06-11,2024,2,2024-06,1182,James Gray,West,2058,Home-Wear,Home,401,1,290.91
539,2024-06-11,2024,2,2024-06,1030,Alice Robinson,East,2026,Clothing-Use,Clothing,404,2,1621.78
1093,2024-06-11,2024,2,2024-06,1092,Timothy Hill,West,2046,Clothing-Worry,Clothing,403,2,32.44
1102,2024-06-11,2024,2,2024-06,1066,Derrick Myers,North,2097,Office-Recent,Office,404,2,3636.18
1471,2024-06-11,2024,2,2024-06,1192,Gregory Medina,East,2079,Office-Who,Office,402,1,1858.87
724,2024-06-12,2024,2,2024-06,1037,Lisa Sanders,West,2055,Clothing-Politics,Clothing,402,3,872.66
1247,2024-06-12,2024,2,2024-06,1010,Mike Davis,East,2069,Clothing-Garden,Clothing,403,2,1860.51
1591,2024-06-12,2024,2,2024-06,1005,Jessica Mora,South,2023,Home-Yeah,Home,402,1,2530.81
1723,2024-06-12,2024,2,2024-06,1107,Emily Hoffman,West,2060,Office-Term,Office,401,1,791.49
2255,2024-06-12,2024,2,2024-06,1136,Scott Hernandez,South,2016,Home-He,Home,402,0,1775.47
